"ENSG00000091831" "ENSG00000082175" "ENSG00000141736" "y"
"TCGA-A2-A0ES-01A-11R-A115-07" 27.5172977781 27.7023089454 40.9260581509 0
"TCGA-E9-A6HE-01A-11R-A31O-07" 27.9663797502 8.70671341014 54.0914734522 0
"TCGA-A1-A0SO-01A-22R-A084-07" 0.0645210643187 0.0426255452612 52.3187956889 1
"TCGA-A8-A0A4-01A-11R-A00Z-07" 34.7029421104 9.51453450753 46.3165907573 0
"TCGA-E2-A158-01A-11R-A12D-07" 0.019382902814 0.0111677289451 23.8563695603 1
"TCGA-AN-A03Y-01A-21R-A00Z-07" 58.4354603993 26.5813674301 21.4183507259 0
"TCGA-BH-A0BC-01A-22R-A084-07" 72.6556331322 3.3189391156 13.7878696592 0
"TCGA-C8-A26V-01A-11R-A16F-07" 44.1962114383 14.0052695472 13.8777604765 0
"TCGA-EW-A2FV-01A-11R-A17B-07" 17.2850442672 4.44035771333 30.256319361 0
"TCGA-A8-A07Z-01A-11R-A00Z-07" 59.1076376746 16.6948686284 37.3509074334 0
"TCGA-BH-A0AV-01A-31R-A115-07" 0.127686368303 0.105308985782 15.8688136485 1
"TCGA-A2-A259-01A-11R-A16F-07" 80.6021567159 25.7139597801 19.0087978216 0
"TCGA-AO-A1KO-01A-31R-A13Q-07" 10.7843982369 9.11777177633 14.9140340065 0
"TCGA-BH-A0BA-01A-11R-A056-07" 42.6340594581 1.6120136706 43.3145454174 0
"TCGA-XX-A899-01A-11R-A36F-07" 10.629121837 38.6327846842 43.6374364415 0
"TCGA-BH-A0H5-01A-21R-A115-07" 23.9714696565 3.90333817805 32.3042550479 0
"TCGA-PE-A5DC-01A-12R-A27Q-07" 23.4717230589 4.54718274379 41.0258548826 0
"TCGA-A2-A0EP-01A-52R-A22U-07" 8.84106173158 0.191072812177 10.9826990064 0
"TCGA-AN-A0FX-01A-11R-A034-07" 1.13404951997 0.639220885698 24.0239825412 0
"TCGA-AC-A23C-01A-12R-A169-07" 98.8145813769 1.08652416818 195.57086901 0
"TCGA-A8-A09M-01A-11R-A00Z-07" 70.739511588 5.19329401973 38.705389778 0
"TCGA-A8-A06X-01A-21R-A00Z-07" 104.189297636 0.096062344361 42.2299094052 0
"TCGA-AR-A1AY-01A-21R-A12P-07" 0.797479542376 0.249808501098 18.0052834114 1
"TCGA-BH-A0HO-01A-11R-A034-07" 25.2630006755 20.2268766837 27.7813635614 0
"TCGA-B6-A0RH-01A-21R-A115-07" 11.5380777772 4.20583108513 133.317114715 0
"TCGA-AC-A3EH-01A-22R-A22K-07" 33.6822708883 0.101789584798 86.2809495226 0
"TCGA-E9-A1N6-01A-11R-A144-07" 34.3451585453 7.95623920145 69.0261756177 0
"TCGA-E2-A106-01A-11R-A10J-07" 57.7214472968 8.51032700409 44.8258633047 0
"TCGA-A8-A08X-01A-21R-A00Z-07" 0.624314610077 0.230661851675 746.540707389 0
"TCGA-AC-A2FB-01A-11R-A17B-07" 17.1571818333 7.52239787574 360.741188198 0
"TCGA-A8-A06O-01A-11R-A00Z-07" 81.6331174576 18.6341327592 40.7330047281 0
"TCGA-A1-A0SB-01A-11R-A144-07" 3.16083767041 0.030150899055 32.3532474411 0
"TCGA-BH-A1EW-01A-11R-A137-07" 29.9789274694 18.903315196 42.4654618211 1
"TCGA-AC-A2FO-01A-11R-A180-07" 71.3372809502 0.90242279061 68.0467202713 0
"TCGA-E2-A15L-01A-11R-A12D-07" 51.0364796636 12.3875097557 37.5193803353 0
"TCGA-BH-A1ES-01A-11R-A137-07" 43.4565288445 5.16629479224 37.3137466298 0
"TCGA-AC-A62V-01A-11R-A31O-07" 28.1756692724 0.120092377266 28.5888958006 0
"TCGA-AR-A0TT-01A-31R-A084-07" 23.6518533206 0.140339355373 21.9195614112 0
"TCGA-BH-A0BJ-01A-11R-A056-07" 23.2400495361 18.841318494 42.1643735712 0
"TCGA-AC-A23E-01A-11R-A157-07" 16.166613716 19.6365952389 29.0614748365 0
"TCGA-E9-A1NI-01A-11R-A14D-07" 70.4833116138 3.12814643356 32.8592182167 0
"TCGA-A8-A08L-01A-11R-A00Z-07" 8.29863077721 0.0235581051674 59.0704644849 0
"TCGA-AC-A3HN-01A-11R-A213-07" 49.2808994894 1.7872552517 49.416038742 0
"TCGA-E2-A14N-01A-31R-A137-07" 0.107522335794 0.167875795025 5.56462498657 1
"TCGA-A2-A0T3-01A-21R-A115-07" 51.2803806314 33.0569647818 33.2854549943 0
"TCGA-AO-A03V-01A-11R-A115-07" 20.3494974849 15.2616243125 28.6012152091 0
"TCGA-EW-A1IZ-01A-11R-A13Q-07" 25.4975894368 0.168743619378 38.6277289418 0
"TCGA-BH-A0BO-01A-23R-A12D-07" 40.8930021271 6.19132617059 32.2362976823 0
"TCGA-A2-A0EN-01A-13R-A084-07" 27.5130514893 0.227709456155 30.96514197 0
"TCGA-EW-A1IW-01A-11R-A13Q-07" 56.6076735412 20.8734483948 583.224424478 0
"TCGA-AQ-A0Y5-01A-11R-A14M-07" 4.4881873774 0.343790349736 626.893874513 0
"TCGA-D8-A1JT-01A-31R-A13Q-07" 92.3647156143 34.9118445743 18.7869455931 0
"TCGA-S3-A6ZH-01A-22R-A32P-07" 18.1478538156 33.5230170414 65.2881617418 0
"TCGA-EW-A1J2-01A-21R-A13Q-07" 53.0320364766 9.21962449776 66.2069277988 0
"TCGA-AN-A0XV-01A-11R-A109-07" 110.328300539 3.50438466552 22.1714717197 0
"TCGA-A2-A04X-01A-21R-A034-07" 4.55578025401 3.5880923699 326.535115694 0
"TCGA-A8-A07B-01A-11R-A00Z-07" 26.574793418 3.52877382678 181.29819453 0
"TCGA-AR-A1AQ-01A-11R-A12P-07" 0.618733055442 0.0274662989988 23.3109169142 1
